date,question,response,comment
2010-09-19,5,9,24
2010-09-20,5,16,28
2010-09-21,3,11,36
2010-09-22,6,32,77
2010-09-23,5,20,40
2010-09-24,5,17,44
2010-09-25,4,7,14
2010-09-26,4,10,32
2010-09-27,5,16,33
2010-09-28,2,4,12
2010-09-29,4,7,18
2010-09-30,3,11,19
2010-10-01,5,11,9
2010-10-02,3,6,33
2010-10-03,4,11,23
2010-10-04,6,11,38
2010-10-05,9,22,45
2010-10-06,3,12,44
2010-10-07,5,17,49
2010-10-08,6,14,33
2010-10-09,2,9,32
2010-10-10,3,3,10
2010-10-11,3,11,16
2010-10-12,4,8,16
2010-10-13,5,15,33
2010-10-14,5,17,26
2010-10-15,5,16,28
2010-10-16,2,8,4
2010-10-17,2,4,11
2010-10-18,9,19,46
2010-10-19,7,24,40
2010-10-20,5,21,65
2010-10-21,8,27,46
2010-10-22,9,22,42
2010-10-23,7,19,59
2010-10-24,2,4,14
2010-10-25,2,7,9
2010-10-26,5,8,17
2010-10-27,3,7,28
2010-10-28,2,2,16
2010-10-29,5,14,32
2010-10-30,5,15,28
2010-10-31,7,20,20
2010-11-01,6,16,38
2010-11-02,7,13,32
2010-11-03,8,28,57
2010-11-04,2,8,29
2010-11-05,5,10,31
2010-11-06,4,8,18
2010-11-07,3,17,23
2010-11-08,7,11,33
2010-11-09,9,19,34
2010-11-10,4,8,13
2010-11-11,3,8,14
2010-11-12,7,14,26
2010-11-13,4,8,15
2010-11-14,5,12,42
2010-11-15,6,7,40
2010-11-16,6,16,40
2010-11-17,7,11,31
2010-11-18,7,22,36
2010-11-19,4,9,20
2010-11-20,9,20,35
2010-11-21,4,20,26
2010-11-22,4,16,26
2010-11-23,5,12,28
2010-11-24,9,15,45
2010-11-25,6,10,36
2010-11-26,4,10,34
2010-11-27,4,14,16
2010-11-28,4,15,23
2010-11-29,4,8,35
2010-11-30,5,10,23
2010-12-01,10,21,49
2010-12-02,14,33,73
2010-12-03,7,24,52
2010-12-04,1,2,12
2010-12-05,8,19,32
2010-12-06,9,19,42
2010-12-07,7,18,33
2010-12-08,4,17,45
2010-12-09,9,21,38
2010-12-10,6,20,46
2010-12-11,4,10,24
2010-12-12,3,5,14
2010-12-13,8,16,44
2010-12-14,5,15,24
2010-12-15,5,16,29
2010-12-16,6,19,47
2010-12-17,4,17,45
2010-12-18,1,3,10
2010-12-19,6,13,23
2010-12-20,7,18,34
2010-12-21,5,19,29
2010-12-22,4,19,37
2010-12-23,3,9,29
2010-12-24,0,2,6
2010-12-25,2,5,16
2010-12-26,3,5,5
2010-12-27,2,9,26
2010-12-28,5,9,29
2010-12-29,4,10,36
2010-12-30,2,8,27
2010-12-31,3,9,11
2011-01-01,6,9,14
2011-01-02,4,8,24
2011-01-03,5,10,46
2011-01-04,5,17,75
2011-01-05,3,12,62
2011-01-06,4,16,23
2011-01-07,3,4,30
2011-01-08,4,13,21
2011-01-09,6,18,43
2011-01-10,3,7,13
2011-01-11,5,10,24
2011-01-12,3,7,15
2011-01-13,6,17,47
2011-01-14,7,23,44
2011-01-15,7,17,35
2011-01-16,3,6,14
2011-01-17,3,11,24
2011-01-18,3,8,25
2011-01-19,6,15,34
2011-01-20,4,10,15
2011-01-21,3,11,16
2011-01-22,7,17,52
2011-01-23,8,19,25
2011-01-24,3,10,36
2011-01-25,3,8,20
2011-01-26,7,23,46
2011-01-27,2,7,22
2011-01-28,2,4,20
2011-01-29,3,5,10
2011-01-30,4,12,42
2011-01-31,6,11,41
2011-02-01,6,20,54
2011-02-02,7,19,42
2011-02-03,10,19,72
2011-02-04,3,11,29
2011-02-05,11,21,47
2011-02-06,8,17,39
2011-02-07,8,19,53
2011-02-08,3,7,26
2011-02-09,4,14,35
2011-02-10,6,13,33
2011-02-11,6,16,74
2011-02-12,7,21,58
2011-02-13,5,16,30
2011-02-14,7,18,36
2011-02-15,8,11,49
2011-02-16,10,19,49
2011-02-17,5,21,51
2011-02-18,5,17,46
2011-02-19,6,12,31
2011-02-20,6,20,35
2011-02-21,6,15,38
2011-02-22,5,16,38
2011-02-23,5,12,11
2011-02-24,4,12,15
2011-02-25,4,12,25
2011-02-26,10,14,21
2011-02-27,5,11,32
2011-02-28,6,11,33
2011-03-01,6,9,46
2011-03-02,5,13,28
2011-03-03,6,15,23
2011-03-04,13,26,40
2011-03-05,5,12,29
2011-03-06,18,32,53
2011-03-07,10,29,77
2011-03-08,7,22,66
2011-03-09,6,6,21
2011-03-10,6,24,67
2011-03-11,6,9,23
2011-03-12,4,9,21
2011-03-13,12,20,36
2011-03-14,6,19,26
2011-03-15,7,21,40
2011-03-16,8,18,41
2011-03-17,9,21,34
2011-03-18,8,16,37
2011-03-19,10,13,24
2011-03-20,7,16,33
2011-03-21,6,20,44
2011-03-22,7,22,40
2011-03-23,8,14,47
2011-03-24,8,10,52
2011-03-25,10,13,37
2011-03-26,12,27,36
2011-03-27,10,22,39
2011-03-28,2,8,27
2011-03-29,10,20,25
2011-03-30,6,19,56
2011-03-31,6,18,49
2011-04-01,15,36,47
2011-04-02,10,17,40
2011-04-03,7,20,31
2011-04-04,10,21,46
2011-04-05,6,14,41
2011-04-06,4,12,24
2011-04-07,7,18,34
2011-04-08,6,15,35
2011-04-09,10,16,35
2011-04-10,5,16,42
2011-04-11,7,15,45
2011-04-12,12,26,62
2011-04-13,10,24,49
2011-04-14,9,16,57
2011-04-15,13,20,83
2011-04-16,11,22,54
2011-04-17,7,15,52
2011-04-18,7,17,60
2011-04-19,10,17,46
2011-04-20,10,23,39
2011-04-21,10,26,70
2011-04-22,8,13,42
2011-04-23,9,20,32
2011-04-24,11,21,62
2011-04-25,7,22,51
2011-04-26,6,22,46
2011-04-27,16,33,70
2011-04-28,7,24,49
2011-04-29,12,20,53
2011-04-30,8,22,75
2011-05-01,7,22,54
2011-05-02,10,24,70
2011-05-03,12,30,60
2011-05-04,21,44,94
2011-05-05,5,15,56
2011-05-06,3,11,30
2011-05-07,12,24,59
2011-05-08,10,24,68
2011-05-09,16,35,110
2011-05-10,13,33,89
2011-05-11,17,34,66
2011-05-12,7,23,42
2011-05-13,10,25,47
2011-05-14,9,24,58
2011-05-15,3,6,23
2011-05-16,5,15,39
2011-05-17,16,38,88
2011-05-18,10,26,93
2011-05-19,6,11,48
2011-05-20,13,31,96
2011-05-21,13,23,97
2011-05-22,12,27,51
2011-05-23,6,24,36
2011-05-24,10,24,51
2011-05-25,10,29,71
2011-05-26,11,20,57
2011-05-27,7,11,49
2011-05-28,9,24,49
2011-05-29,15,35,63
2011-05-30,9,24,40
2011-05-31,13,37,92
2011-06-01,8,16,73
2011-06-02,14,26,68
2011-06-03,9,17,82
2011-06-04,11,17,53
2011-06-05,12,18,44
2011-06-06,8,24,47
2011-06-07,18,36,83
2011-06-08,15,29,113
2011-06-09,14,35,77
2011-06-10,11,30,99
2011-06-11,14,18,73
2011-06-12,17,29,98
2011-06-13,8,17,57
2011-06-14,6,18,42
2011-06-15,12,28,40
2011-06-16,6,16,41
2011-06-17,4,10,35
2011-06-18,10,26,67
2011-06-19,8,15,21
2011-06-20,6,13,57
2011-06-21,7,24,89
2011-06-22,9,19,57
2011-06-23,9,22,71
2011-06-24,9,16,52
2011-06-25,4,22,35
2011-06-26,8,12,32
2011-06-27,4,11,52
2011-06-28,7,14,26
2011-06-29,10,19,35
2011-06-30,10,23,51
2011-07-01,3,9,24
2011-07-02,5,12,22
2011-07-03,8,13,51
2011-07-04,8,25,40
2011-07-05,12,23,49
2011-07-06,14,30,73
2011-07-07,9,24,45
2011-07-08,9,23,78
2011-07-09,14,28,79
2011-07-10,6,12,53
2011-07-11,9,20,77
2011-07-12,9,22,60
2011-07-13,11,24,43
2011-07-14,8,14,46
2011-07-15,7,16,65
2011-07-16,6,14,58
2011-07-17,4,8,29
2011-07-18,9,13,47
2011-07-19,9,17,48
2011-07-20,6,18,55
2011-07-21,6,11,26
2011-07-22,16,23,57
2011-07-23,2,10,27
2011-07-24,12,14,33
2011-07-25,4,8,37
2011-07-26,9,18,39
2011-07-27,8,9,45
2011-07-28,4,14,32
2011-07-29,9,11,33
2011-07-30,7,15,52
2011-07-31,5,8,27
2011-08-01,4,8,30
2011-08-02,10,21,33
2011-08-03,10,23,59
2011-08-04,7,21,35
2011-08-05,7,20,44
2011-08-06,7,15,48
2011-08-07,4,10,26
2011-08-08,3,9,35
2011-08-09,6,18,50
2011-08-10,6,12,54
2011-08-11,4,16,46
2011-08-12,6,18,60
2011-08-13,4,8,25
2011-08-14,6,26,56
2011-08-15,7,20,58
2011-08-16,10,22,50
2011-08-17,0,3,39
2011-08-18,9,23,51
2011-08-19,7,16,42
2011-08-20,11,16,27
2011-08-21,9,29,75
2011-08-22,11,26,62
2011-08-23,8,17,78
2011-08-24,11,23,71
2011-08-25,6,14,40
2011-08-26,9,22,40
2011-08-27,8,19,44
2011-08-28,8,24,64
2011-08-29,13,25,80
2011-08-30,14,31,50
2011-08-31,4,11,35
